"Symbol","Synonym Symbol","Scientific Name with Author","Common Name","Family"
"ACME80","","Acacia mearnsii De Wild.","black wattle","Fabaceae"
"ACME","","Acacia melanoxylon R. Br.","blackwood","Fabaceae"
"ACME8","","Acacia mellifera (Vahl) Benth.","NULL","Fabaceae"
"ACMED","","Acacia mellifera (Vahl) Benth. ssp. detinens (Burch.) Brenan","NULL","Fabaceae"
"ACME6","","Acacia merrallii F. Muell.","NULL","Fabaceae"
"ACMI5","","Acacia microbotrya Benth.","NULL","Fabaceae"
"ACMI6","","Acacia microcarpa F. Muell.","manna wattle","Fabaceae"
"ACACI","","Acacia Mill.","acacia","Fabaceae"
"ACMI","","Acacia millefolia S. Watson","milfoil wattle","Fabaceae"
"ACFA","ACMI4","Acacia minuta (M.E. Jones) R.M. Beauch.","","Fabaceae"
"ACFA","ACMID","Acacia minuta (M.E. Jones) R.M. Beauch. ssp. densiflora (Alexander ex Small) R.M. Beauch.","","Fabaceae"
"ACMO9","","Acacia montana Benth.","NULL","Fabaceae"
"ACMU6","","Acacia mucronata Willd. ex H.L. Wendl.","narrow-leaf wattle","Fabaceae"
"ACMU7","","Acacia multispicata Benth.","NULL","Fabaceae"
"ACMU","","Acacia muricata (L.) Willd.","spineless wattle","Fabaceae"
"ACMY2","","Acacia myrtifolia (Sm.) Willd.","NULL","Fabaceae"
"ACNE4","","Acacia neovernicosa Isely","viscid acacia","Fabaceae"
"ACNE8","","Acacia neriifolia A. Cunn. ex Benth.","NULL","Fabaceae"
"ACNI8","","Acacia nigrescens Oliv.","knobthorn","Fabaceae"
"ACNI2","","Acacia nilotica (L.) Willd. ex Delile","gum arabic tree","Fabaceae"
"ACNIA3","ACNIA2","Acacia nilotica (L.) Willd. ex Delile ssp. adansonii (Guill. & Perr.) Brenan","","Fabaceae"
"ACNIA3","","Acacia nilotica (L.) Willd. ex Delile ssp. adstringens (Schumach. & Thonn.) Roberty","NULL","Fabaceae"
"ACNIK2","","Acacia nilotica (L.) Willd. ex Delile ssp. kraussiana (Benth.) Brenan","NULL","Fabaceae"
"ACNO5","","Acacia notabilis F. Muell.","notable wattle","Fabaceae"
"ACOM","","Acacia omalophylla A. Cunn. ex Benth.","yarran","Fabaceae"
"ACOS2","","Acacia oswaldii F. Muell.","umbrella acacia","Fabaceae"
"ACOX3","","Acacia oxycedrus Sieber ex DC.","NULL","Fabaceae"
"ACPA15","","Acacia pachyceras Sw.","NULL","Fabaceae"
"ACPAN","","Acacia pachyceras Sw. var. najdensis (Chaudhary) Boulos","NULL","Fabaceae"
"ACPA16","","Acacia papyrocarpa Benth.","NULL","Fabaceae"
"ACPA8","","Acacia paradoxa DC.","paradox acacia","Fabaceae"
"ACPA81","","Acacia parramattensis Tindale","South Wales wattle","Fabaceae"
"ACPA9","","Acacia parvipinnula Tindale","silver-stem wattle","Fabaceae"
"ACDEP2","ACPA10","Acacia paucijuga Wakef.","","Fabaceae"
"ACPE8","","Acacia pendula A. Cunn. ex G. Don","myall acacia","Fabaceae"
"ACPE9","","Acacia pennatula (Schltdl. & Cham.) Benth.","fern-leaf acacia","Fabaceae"
"ACPE10","","Acacia penninervis Sieber ex DC.","blackwood","Fabaceae"
"ACPE11","","Acacia pentagona (Schumach. & Thonn.) Hook. f.","NULL","Fabaceae"
"ACPI","","Acacia pinetorum F.J. Herm.","pineland wattle","Fabaceae"
"ACPO2","","Acacia podalyriifolia A. Cunn. ex G. Don","pearl wattle","Fabaceae"
"ACPO3","","Acacia polyacantha Willd.","catechu tree","Fabaceae"
"ACPOC2","","Acacia polyacantha Willd. ssp. campylacantha (Hochst. ex A. Rich.) Brenan","NULL","Fabaceae"
"ACPR6","","Acacia pravissima F. Muell.","wedge-leaf wattle","Fabaceae"
"ACPR3","","Acacia prominens A. Cunn. ex G. Don","goldenrain wattle","Fabaceae"
"ACPR4","","Acacia pruinosa A. Cunn. ex Benth.","frosty wattle","Fabaceae"
"ACPU3","","Acacia pulchella R. Br.","NULL","Fabaceae"
"ACPY3","","Acacia pycnantha Benth.","golden wattle","Fabaceae"
"ACPY4","","Acacia pyrifolia DC.","NULL","Fabaceae"
"ACQU2","","Acacia quornensis J.M. Black","quorn wattle","Fabaceae"
"ACRA5","","Acacia ramulosa W. Fitzg.","NULL","Fabaceae"
"ACRE9","","Acacia redolens Maslin","bank catclaw","Fabaceae"
"ACRE8","","Acacia rehmanniana Schinz","acacia","Fabaceae"
"ACRE2","","Acacia retinodes Schltdl.","water wattle","Fabaceae"
"ACRE4","","Acacia retusa (Jacq.) Howard","catch and keep","Fabaceae"
"ACRI10","","Acacia richii A. Gray [excluded]","NULL","Fabaceae"
"ACRI6","","Acacia rigens A. Cunn. ex G. Don","nealie","Fabaceae"
"ACRI","","Acacia rigidula Benth.","blackbrush acacia","Fabaceae"
"ACRE4","ACRI4","Acacia riparia auct. non Kunth","","Fabaceae"
"ACRI7","","Acacia rivalis J.M. Black","creek wattle","Fabaceae"
"ACRO5","","Acacia robusta Burch.","NULL","Fabaceae"
"ACRO","","Acacia roemeriana Scheele","roundflower catclaw","Fabaceae"
"ACRO6","","Acacia rossei F. Muell.","NULL","Fabaceae"
"ACRU11","","Acacia rubida A. Cunn.","red-leaf wattle","Fabaceae"
"ACRU12","","Acacia rupicola F. Muell. ex Benth.","NULL","Fabaceae"
"ACSA9","","Acacia saliciformis Tindale","NULL","Fabaceae"
"ACSA10","","Acacia salicina Lindl.","cooba","Fabaceae"
"ACSA","","Acacia saligna (Labill.) Wendl. f.","orange wattle","Fabaceae"
"ACSC2","","Acacia schaffneri (S. Watson) F.J. Herm.","Schaffner's wattle","Fabaceae"
"ACSCB","","Acacia schaffneri (S. Watson) F.J. Herm. var. bravoensis Isely","Schaffner's wattle","Fabaceae"
"ACSCS2","","Acacia schaffneri (S. Watson) F.J. Herm. var. schaffneri (S. Watson) F.J. Herm. [excluded]","Schaffner's wattle","Fabaceae"
"ACSC","","Acacia schottii Torr.","Schott's wattle","Fabaceae"
"ACSC9","","Acacia schweinfurthii Brenan & Exell","NULL","Fabaceae"
"ACSC10","","Acacia sclerosperma F. Muell.","acacia","Fabaceae"
"ACSC12","","Acacia scleroxyla Tussac [excluded]","NULL","Fabaceae"
"ACSE6","","Acacia senegal (L.) Willd.","gum arabic","Fabaceae"
"ACSER2","","Acacia senegal (L.) Willd. var. rostrata Brenan","NULL","Fabaceae"
"ACVI7","ACSE9","Acacia sentis F. Muell. ex Benth., nom. illeg.","","Fabaceae"
"ACSE7","","Acacia seyal Delile","talh","Fabaceae"
"ACSI7","","Acacia sieberiana DC.","NULL","Fabaceae"
"ACSIW2","","Acacia sieberiana DC. var. woodii (Burtt Davy) Keay & Brenan","paperbark-thorn","Fabaceae"
"ACSI5","","Acacia silvestris Tindale","red wattle","Fabaceae"
"ACFA","ACSM","Acacia smallii Isely","","Fabaceae"
"ACSO4","","Acacia sophorae (Labill.) R. Br.","acacia","Fabaceae"
"ACPA16","ACSO3","Acacia sowdenii Maiden","","Fabaceae"
"ACSP9","","Acacia spectabilis A. Cunn. ex Benth.","glory wattle","Fabaceae"
"ACSP4","","Acacia sphaerocephala Schltdl. & Cham.","bee wattle","Fabaceae"
"ACST5","","Acacia stenophylla A. Cunn. ex Benth.","Dalby myall","Fabaceae"
"ACST8","","Acacia stowardii Maiden","bastard mulga","Fabaceae"
"ACST6","","Acacia stricta (Andrews) Willd.","NULL","Fabaceae"
"ACSU9","","Acacia suaveolens (Sm.) Willd.","sweet acacia","Fabaceae"
"ACSU11","","Acacia sublanata Benth.","NULL","Fabaceae"
"ACSU10","","Acacia subulata Bonpl.","awl-leaf wattle","Fabaceae"
"ACPO3","ACSU2","Acacia suma (Roxb.) Buch.-Ham. ex Voigt","","Fabaceae"
"ACSW2","","Acacia swazica Burtt Davy","NULL","Fabaceae"
"ACTE9","","Acacia terminalis (Salisb.) J.F. Macbr. [excluded]","NULL","Fabaceae"
"ACTE8","","Acacia tetragonophylla F. Muell.","dead finish","Fabaceae"
"ACANT4","ACTE2","Acacia texensis Torr. & A. Gray","","Fabaceae"
"ACTO6","","Acacia tortilis (Forssk.) Hayne","umbrella thorn","Fabaceae"
"ACTOH2","","Acacia tortilis (Forssk.) Hayne ssp. heteracantha (Burch.) Brenan","NULL","Fabaceae"
"ACTOS2","","Acacia tortilis (Forssk.) Hayne ssp. spirocarpa (Hochst. ex A. Rich.) Brenan","NULL","Fabaceae"
"ACTO","","Acacia tortuosa (L.) Willd.","poponax","Fabaceae"
"ACTR6","","Acacia trineura F. Muell.","NULL","Fabaceae"
"ACUL2","","Acacia ulicifolia (Salisb.) Court","juniper wattle","Fabaceae"
"ACUN2","","Acacia uncinata Lindl.","NULL","Fabaceae"
"ACUN3","","Acacia undulifolia G. Lodd.","NULL","Fabaceae"
"ACUR2","","Acacia urophylla Benth. ex Lindl.","NULL","Fabaceae"
"ACSE6","ACVE3","Acacia verek Guill. & Perr.","","Fabaceae"
"ACVE5","","Acacia verniciflua A. Cunn.","NULL","Fabaceae"
"ACNE4","ACVE","Acacia vernicosa Standl.","","Fabaceae"
"ACVE2","","Acacia verticillata (L'Hér.) Willd.","prickly Moses","Fabaceae"
"ACVI7","","Acacia victoriae Benth.","bramble acacia","Fabaceae"
"ACGL4","ACVI8","Acacia villosa (Sw.) Willd.","","Fabaceae"
"ACVI9","","Acacia viscidula Benth.","NULL","Fabaceae"
"ACVI10","","Acacia visco Lorentz ex Griseb.","NULL","Fabaceae"
"ACVO","","Acacia vogeliana Steud.","macata bourse bastard","Fabaceae"
"ACWA3","","Acacia wattsiana F. Muell. ex Benth.","NULL","Fabaceae"
"ACRE4","ACWE","Acacia westiana DC.","","Fabaceae"
"ACWI2","","Acacia willardiana Rose","NULL","Fabaceae"
"ACGRW","ACWR","Acacia wrightii Benth.","","Fabaceae"
"ACXA3","","Acacia xanthophloea Benth.","fevertree","Fabaceae"
"ACANH","ACHI4","Acaciella hirta (Nutt.) Britton & Rose","","Fabaceae"
"ACANS","ACSH2","Acaciella shrevei Britton & Rose","","Fabaceae"
"ACNO7","ACAN3","Acaena anserinifolia auct. non (J.R. Forst. & G. Forst.) Druce","","Rosaceae"
"ACPIC2","ACCA2","Acaena californica Bitter","","Rosaceae"
"ACEX","","Acaena exigua A. Gray","liliwai","Rosaceae"
"ACEX","ACEXG","Acaena exigua A. Gray var. glaberrima Bitter","","Rosaceae"
"ACEX","ACEXG2","Acaena exigua A. Gray var. glabriuscula Bitter","","Rosaceae"
"ACEX","ACEXS","Acaena exigua A. Gray var. subtusstrigulosa Bitter","","Rosaceae"
"ACAEN","","Acaena Mutis ex L.","acaena","Rosaceae"
"ACMY3","","Acaena myriophylla Lindl.","cadillo","Rosaceae"
"ACNO7","","Acaena novae-zelandiae Kirk","biddy-biddy","Rosaceae"
"ACNO7","ACNO4","Acaena novae-zelandica Kirk, orth. var.","","Rosaceae"
"ACPA14","","Acaena pallida (Kirk) Allen","pale biddy-biddy","Rosaceae"
"ACPI3","","Acaena pinnatifida Ruiz & Pav.","Argentinian biddy-biddy","Rosaceae"
"ACPIC2","","Acaena pinnatifida Ruiz & Pav. var. californica (Bitter) Jeps.","NULL","Rosaceae"
"ACNO7","ACSA4","Acaena sanguisorbae auct. non (L. f.) Vahl","","Rosaceae"
"ACAL2","","Acalypha alopecuroidea Jacq.","foxtail copperleaf","Euphorbiaceae"
"ACAM2","","Acalypha amentacea Roxb.","catch me if you can","Euphorbiaceae"
"ACAMW","","Acalypha amentacea Roxb. ssp. wilkesiana (Müll. Arg.) Fosberg","Wilkes' acalypha","Euphorbiaceae"
"ACAR16","ACAR19","Acalypha aristata auct. non Kunth","","Euphorbiaceae"
"ACAL2","ACAR17","Acalypha aristata Kunth","","Euphorbiaceae"
"ACAR16","","Acalypha arvensis Poepp.","field copperleaf","Euphorbiaceae"
"ACAU6","","Acalypha australis L.","Asian copperleaf","Euphorbiaceae"
"ACBE2","","Acalypha berteriana Müll. Arg.","Guayama Copperleaf","Euphorbiaceae"
"ACBI3","","Acalypha bisetosa Bertol. ex Spreng.","streambank copperleaf","Euphorbiaceae"
"ACCA3","","Acalypha californica Benth.","California copperleaf","Euphorbiaceae"
"ACOS","ACCA8","Acalypha caroliniana Elliott","","Euphorbiaceae"
"ACCH2","","Acalypha chamaedryfolia (Lam.) Müll. Arg.","bastard copperleaf","Euphorbiaceae"
"ACDE4","","Acalypha deamii (Weath.) H.E. Ahles","Deam's threeseed mercury","Euphorbiaceae"
"ACGR2","","Acalypha gracilens A. Gray","slender threeseed mercury","Euphorbiaceae"
"ACMO4","ACGRM2","Acalypha gracilens A. Gray ssp. monococca (Engelm. ex A. Gray) G.L. Webster","","Euphorbiaceae"
"ACGR2","ACGRD","Acalypha gracilens A. Gray var. delzii L. Mill.","","Euphorbiaceae"
"ACGR2","ACGRF","Acalypha gracilens A. Gray var. fraseri (Müll. Arg.) Weath.","","Euphorbiaceae"
"ACMO4","ACGRM","Acalypha gracilens A. Gray var. monococca Engelm. ex A. Gray","","Euphorbiaceae"
"ACMO","ACHE","Acalypha hederacea Torr.","","Euphorbiaceae"
"ACHI2","","Acalypha hispida Burm. f.","red-hot cat's tail","Euphorbiaceae"
"ACME7","ACINM","Acalypha indica L. var. mexicana (Müll. Arg.) Pax & K. Hoffm.","","Euphorbiaceae"
"ACPO","ACIN","Acalypha indica Vell., non L.","","Euphorbiaceae"
"ACALY","","Acalypha L.","copperleaf","Euphorbiaceae"
"ACPH3","ACLI","Acalypha lindheimeri Müll. Arg.","","Euphorbiaceae"
"ACPH3","ACLIM","Acalypha lindheimeri Müll. Arg. var. major Pax & K. Hoffm.","","Euphorbiaceae"
"ACME7","","Acalypha mexicana Müll. Arg.","Mexican copperleaf","Euphorbiaceae"
"ACMO4","","Acalypha monococca (Engelm. ex A. Gray) Lill. W. Mill. & Gandhi","slender threeseed mercury","Euphorbiaceae"
"ACMO","","Acalypha monostachya Cav.","round copperleaf","Euphorbiaceae"
"ACNE","","Acalypha neomexicana Müll. Arg.","New Mexico copperleaf","Euphorbiaceae"
"ACOS","","Acalypha ostryifolia Riddell","pineland threeseed mercury","Euphorbiaceae"
"ACPH3","","Acalypha phleoides Cav.","shrubby copperleaf","Euphorbiaceae"
"ACPO","","Acalypha poiretii Spreng.","Poiret's copperleaf","Euphorbiaceae"
"ACPO4","","Acalypha portoricensis Müll. Arg.","Puerto Rico copperleaf","Euphorbiaceae"
"ACCA3","ACPR","Acalypha pringlei S. Watson","","Euphorbiaceae"
"ACRA","","Acalypha radians Torr.","cardinal's feather","Euphorbiaceae"
"ACRH","","Acalypha rhomboidea Raf.","common threeseed mercury","Euphorbiaceae"
"ACDE4","ACRHD","Acalypha rhomboidea Raf. var. deamii (Weath.) Weath.","","Euphorbiaceae"
"ACSE","","Acalypha setosa A. Rich.","Cuban copperleaf","Euphorbiaceae"
"ACVI","","Acalypha virginica L.","Virginia threeseed mercury","Euphorbiaceae"
"ACDE4","ACVID","Acalypha virginica L. var. deamii Weath.","","Euphorbiaceae"
"ACGR2","ACVIG","Acalypha virginica L. var. gracilens (A. Gray) Müll. Arg.","","Euphorbiaceae"
"ACMO4","ACVIM","Acalypha virginica L. var. monococca (Engelm. ex A. Gray) Müll. Arg.","","Euphorbiaceae"
"ACRH","ACVIR","Acalypha virginica L. var. rhomboidea (Raf.) Cooperr.","","Euphorbiaceae"
"ACAMW","ACWI","Acalypha wilkesiana Müll. Arg.","","Euphorbiaceae"
"ERSE2","ACSE5","Acamptoclados sessilispicus (Buckley) Nash","","Poaceae"
"ACAMP","","Acamptopappus (A. Gray) A. Gray","goldenhead","Asteraceae"
"ACSH","","Acamptopappus shockleyi A. Gray","Shockley's goldenhead","Asteraceae"
"ACSP","","Acamptopappus sphaerocephalus (Harv. & A. Gray ex A. Gray) A. Gray","rayless goldenhead","Asteraceae"
"ACSPH","","Acamptopappus sphaerocephalus (Harv. & A. Gray ex A. Gray) A. Gray var. hirtellus S.F. Blake","rayless goldenhead","Asteraceae"
"ACSPS2","","Acamptopappus sphaerocephalus (Harv. & A. Gray ex A. Gray) A. Gray var. sphaerocephalus","rayless goldenhead","Asteraceae"
"ACANT6","","Acanthocereus (Engelm. ex A. Berger) Britton & Rose","triangle cactus","Cactaceae"
"ACTE4","ACFL3","Acanthocereus floridanus Small ex Britton & Rose","","Cactaceae"
"ACTE4","ACPE5","Acanthocereus pentagonus (L.) Britton & Rose","","Cactaceae"
"ACTE4","","Acanthocereus tetragonus (L.) Humm.","triangle cactus","Cactaceae"
"AMAC","ACWR6","Acanthochiton wrightii Torr.","","Amaranthaceae"
"WICA4","ACCA22","Acanthocladium carlottae Schof.","","Sematophyllaceae"
"CHCO6","ACCO6","Acanthogonum corrugatum Torr.","","Polygonaceae"
"CHPOP5","ACPO6","Acanthogonum polygonoides (Torr. & A. Gray) Goodman","","Polygonaceae"
"CHPOL","ACPOL","Acanthogonum polygonoides (Torr. & A. Gray) Goodman var. longispinum Goodman","","Polygonaceae"
"CHRI","ACRI2","Acanthogonum rigidum Torr.","","Polygonaceae"
"ACANT2","","Acanthomintha (A. Gray) A. Gray","thorn-mint","Lamiaceae"
"ACDU2","","Acanthomintha duttonii (Abrams) Jokerst","San Mateo thorn-mint","Lamiaceae"
"ACIL","","Acanthomintha ilicifolia (A. Gray) A. Gray","San Diego thorn-mint","Lamiaceae"
"ACLA2","","Acanthomintha lanceolata Curran","Santa Clara thorn-mint","Lamiaceae"
"ACOB","","Acanthomintha obovata Jeps.","San Benito thorn-mint","Lamiaceae"
"ACOBC","","Acanthomintha obovata Jeps. ssp. cordata Jokerst","heartleaf thorn-mint","Lamiaceae"
"ACDU2","ACOBD","Acanthomintha obovata Jeps. ssp. duttonii Abrams","","Lamiaceae"
"ACOBO","","Acanthomintha obovata Jeps. ssp. obovata","San Benito thorn-mint","Lamiaceae"
"ELSE5","ACSE8","Acanthopanax senticosus (Rupr. & Maxim.) Harms","","Araliaceae"
"ELPE6","ACSI2","Acanthopanax sieboldianus Makino","","Araliaceae"
"ACAU2","","Acanthospermum australe (Loefl.) Kuntze","Paraguayan starbur","Asteraceae"
"ACHI","","Acanthospermum hispidum DC.","hispid starbur","Asteraceae"
"ACHU","","Acanthospermum humile (Sw.) DC.","low starbur","Asteraceae"
"ACANT3","","Acanthospermum Schrank","starbur","Asteraceae"
"ACAU2","ACXA","Acanthospermum xanthioides DC.","","Asteraceae"
"XASP2","ACSP5","Acanthoxanthium spinosum (L.) Fourr.","","Asteraceae"
"ACEB3","","Acanthus ebracteatus Vahl","acanthus","Acanthaceae"
"ACANT7","","Acanthus L.","acanthus","Acanthaceae"
"ACMO8","","Acanthus mollis L.","bear's breech","Acanthaceae"
"ACPO10","","Acanthus polystachyus Delile","NULL","Acanthaceae"
"ACPOP","","Acanthus polystachyus Delile var. pseudopubescens Cufod.","NULL","Acanthaceae"
"ACPOP","ACPU4","Acanthus pubescens Engl.","","Acanthaceae"
"ACSP7","","Acanthus spinosus L.","spine acanthus","Acanthaceae"
"ACSY","","Acanthus syriacus Boiss.","Syrian acanthus","Acanthaceae"
"ACARO2","","Acarospora A. Massal.","cracked lichen","Acarosporaceae"
"ACAE","","Acarospora aeruginosa Hasse","cracked lichen","Acarosporaceae"
"ACSC5","ACAL14","Acarospora albida H. Magn.","","Acarosporaceae"
"ACAL13","","Acarospora albomarginata (Herre) Salisb.","cracked lichen","Acarosporaceae"
"ACSC5","ACAM6","Acarospora amabilis H. Magn.","","Acarosporaceae"
"ACAM5","","Acarospora americana H. Magn.","American cracked lichen","Acarosporaceae"
"ACAM7","","Acarospora amphibola Wedd.","NULL","Acarosporaceae"
"ACAP","","Acarospora applanata H. Magn.","cracked lichen","Acarosporaceae"
"ACAR8","","Acarospora arenacea H. Magn.","cracked lichen","Acarosporaceae"
"ACAR9","","Acarospora arenosa Herre","cracked lichen","Acarosporaceae"
"ACAS3","","Acarospora asahinae H. Magn.","Asahina's cracked lichen","Acarosporaceae"
"ACAS4","","Acarospora asperata H. Magn.","cracked lichen","Acarosporaceae"
"ACBA4","","Acarospora badiofusca (Nyl.) Th. Fr.","cracked lichen","Acarosporaceae"
"ACSC5","ACBE5","Acarospora bella (Nyl.) Jatta","","Acarosporaceae"
"ACBA4","ACBO2","Acarospora boulderensis H. Magn.","","Acarosporaceae"
"ACBU2","","Acarospora bullata Anzi","cracked lichen","Acarosporaceae"
"ACCA14","","Acarospora caesiofusca (Müll. Arg.) H. Magn.","cracked lichen","Acarosporaceae"
"ACCA15","","Acarospora californica Zahlbr.","California cracked lichen","Acarosporaceae"
"ACCA16","","Acarospora canadensis H. Magn.","Canada cracked lichen","Acarosporaceae"
"ACCA17","","Acarospora carnegiei Zahlbr.","Carnegie's cracked lichen","Acarosporaceae"
"ACFU2","ACCA19","Acarospora cartilaginea H. Magn.","","Acarosporaceae"
"ACCE","","Acarospora cervina A. Massal.","cracked lichen","Acarosporaceae"
"PLCH4","ACCH60","Acarospora chlorophana (Wahlenb.) A. Massal.","","Acarosporaceae"
"ACSC5","ACCH4","Acarospora chrysops (Tuck.) H. Magn.","","Acarosporaceae"
"ACCI2","","Acarospora cinereoalba (Fink) H. Magn.","cracked lichen","Acarosporaceae"
"ACCI4","","Acarospora citrina (Taylor) Zahlbr.","NULL","Acarosporaceae"
"ACCL6","","Acarospora clauzadeana (Llimona) Casares & Hafellner","NULL","Acarosporaceae"
"ACCO10","","Acarospora coloradiana H. Magn.","Colorado cracked lichen","Acarosporaceae"
"ACCO11","","Acarospora complanata H. Magn.","cracked lichen","Acarosporaceae"
"ACSC5","ACCO13","Acarospora contigua H. Magn.","","Acarosporaceae"
"ACDE9","","Acarospora desolata H. Magn.","cracked lichen","Acarosporaceae"
"ACDI4","","Acarospora dispersa H. Magn.","cracked lichen","Acarosporaceae"
"ACSC5","ACDI5","Acarospora dissipata H. Magn.","","Acarosporaceae"
"ACEL2","","Acarospora elevata H. Magn.","cracked lichen","Acarosporaceae"
"ACSC5","ACEP","Acarospora epilutescens Zahlbr.","","Acarosporaceae"
"PLCH4","ACER3","Acarospora erythrophora H. Magn.","","Acarosporaceae"
"ACSC5","ACEV","Acarospora evoluta H. Magn.","","Acarosporaceae"
"PLFL4","ACFL5","Acarospora flava (Bellardi) Ach.","","Acarosporaceae"
"ACFU2","","Acarospora fuscata (Schrad.) Arnold","cracked lichen","Acarosporaceae"
"ACFU3","","Acarospora fuscescens H. Magn.","cracked lichen","Acarosporaceae"
"ACGA2","","Acarospora gallica H. Magn.","Gallic cracked lichen","Acarosporaceae"
"ACGE4","","Acarospora geogena H. Magn.","cracked lichen","Acarosporaceae"
"ACGE4","ACGE6","Acarospora geophila H. Magn.","","Acarosporaceae"
"ACGL2","","Acarospora glaucocarpa (Ach.) Körb.","cracked lichen","Acarosporaceae"
"ACOL","ACGL3","Acarospora glebosa (Flotow) Körb.","","Acarosporaceae"
"ACHA3","","Acarospora hassei Herre","Hasse's cracked lichen","Acarosporaceae"
"ACHE6","","Acarospora heppii (Nageli ex Hepp) Nageli ex Körb.","Hepp's cracked lichen","Acarosporaceae"
"ACHE7","","Acarospora heufleriana Körb.","Heufler's cracked lichen","Acarosporaceae"
"ACHI6","","Acarospora hilaris (Dufour) Hue","cracked lichen","Acarosporaceae"
"ACIM2","","Acarospora immersa Fink","water cracked lichen","Acarosporaceae"
"ACIM3","","Acarospora impressula Th. Fr.","cracked lichen","Acarosporaceae"
"PLCH4","ACIN9","Acarospora incertula H. Magn.","","Acarosporaceae"
"ACIN5","","Acarospora instrata H. Magn.","cracked lichen","Acarosporaceae"
"ACSC5","ACIN10","Acarospora intercedens H. Magn.","","Acarosporaceae"
"ACIN6","","Acarospora interjecta H. Magn.","cracked lichen","Acarosporaceae"
"ACIN7","","Acarospora interposita H. Magn.","cracked lichen","Acarosporaceae"
"ACIN8","","Acarospora interspersa H. Magn.","cracked lichen","Acarosporaceae"
"POLA18","ACLA7","Acarospora lapponica (Ach. ex Schaerer) Th. Fr.","","Acarosporaceae"
"ACMA10","","Acarospora macrospora (Hepp) Bagl.","big spore cracked lichen","Acarosporaceae"
"ACMO6","","Acarospora molybdina (Wahlenb.) Trevis.","molybdenum cracked lichen","Acarosporaceae"
"ACRU5","ACMO7","Acarospora montana H. Magn.","","Acarosporaceae"
"ACNE7","","Acarospora nevadensis H. Magn.","Nevada cracked lichen","Acarosporaceae"
"ACNI6","","Acarospora nigromarginata de Lesd.","darkmargin cracked lichen","Acarosporaceae"
"ACNI7","","Acarospora nitida H. Magn.","cracked lichen","Acarosporaceae"
"ACNO6","","Acarospora nodulosa (Dufour) Hue","nodule cracked lichen","Acarosporaceae"
"ACNON","","Acarospora nodulosa (Dufour) Hue var. nodulosa","nodule cracked lichen","Acarosporaceae"
